id,metro_region,lat,long
AR/ZAI,Embarcacíon,-23.21666717529297,-64.0999984741211
AR/EEA,Ensenada,-34.86666488647461,-57.88333511352539
AR/EPL,Espeleta,-34.766666412353516,-58.25
AR/ESP,Esperanza,-31.450000762939453,-60.93333435058594
AR/ESE,Esteban Echeverría,-34.79999923706055,-58.46666717529297
AR/JTR,Etruria,-32.93333435058594,-63.25
AR/EBA,Eugenio Bustos,-33.766666412353516,-69.06666564941406
AR/EZA,Ezeiza,-34.83333206176758,-58.516666412353516
AR/FAM,Famaillá,-27.049999237060547,-65.4000015258789
AR/FEN,Federación,-31.0,-57.900001525878906
AR/FER,Fernández,-27.91666603088379,-63.900001525878906
AR/FRR,Ferreyra,-31.450000762939453,-64.0999984741211
AR/FLO,Florida,-34.88333511352539,-58.81666564941406
AR/FRK,Franck,-31.58333396911621,-60.93333435058594
AR/FLB,Fray Luis A. Beltrán,-32.78333282470703,-60.733333587646484
AR/FBE,Fray Luis Beltran,-33.016666412353516,-68.6500015258789
AR/FRY,Freyre,-31.149999618530273,-62.08333206176758
AR/FRT,Frontera,-31.133333206176758,-62.79999923706055
AR/XLM,Fuentes,-33.16666793823242,-61.08333206176758
AR/FNS,Funes,-32.91666793823242,-60.81666564941406
AR/GVL,Gálvez,-32.016666412353516,-61.21666717529297
AR/GAR,Garín,-34.41666793823242,-58.75
AR/GRU,Garupá,-27.483333587646484,-55.83333206176758
AR/GVA,General Alvear,-35.0,-67.6500015258789
AR/GBE,General Belgrano,-35.766666412353516,-58.5
AR/GCA,General Cabrera,-32.79999923706055,-63.86666488647461
AR/GDL,General Deheza,-32.733333587646484,-63.766666412353516
AR/XSA,General Enrique Godoy,-39.08333206176758,-67.1500015258789
AR/NES,General Enrique Mosconi,-22.600000381469727,-63.81666564941406
AR/GGL,General Güemes,-24.66666603088379,-65.05000305175781
AR/GDG,General Gutiérrez,-32.95000076293945,-68.78333282470703
AR/GLS,General Lagos,-33.099998474121094,-60.56666564941406
AR/GLV,General Lavalle,-36.400001525878906,-56.96666717529297
AR/GMA,General Madariaga,-36.983333587646484,-57.11666488647461
AR/GPC,General Pacheco,-35.45000076293945,-58.650001525878906
AR/GRM,General Ramírez,-32.18333435058594,-60.20000076293945
AR/GNR,General Roca,-39.03333282470703,-67.58333587646484
AR/GRD,General Rodríguez,-34.61666488647461,-58.95000076293945
AR/JGR,Gerli,-34.70000076293945,-58.38333511352539
AR/GOB,Gobernador Benegas,-32.95000076293945,-68.8499984741211
