AL,SAR,Sarandë,Sarande,3953N 02000E
AL,SHG,Shëngjin,Shengjin,4148N 01934E
AL,SHK,Shkoder,Shkoder,4204N 01931E
AL,SHZ,Shkozet,Shkozet,4162N 01934E
AL,TEN,Tenes,Tenes,
AL,TIA,Tirana,Tirana,
AL,VOA,Vlorë,Vlore,4028N 01929E
AL,VOR,Vore,Vore,4123N 01939E
AM,,.ARMENIA,,
AM,ABO,Abovyan,Abovyan,4016N 04447E
AM,AHU,Akhuryan,Akhuryan,
AM,A3A,Aparan,Aparan,4035N 04421E
AM,ARG,Aragatsotn,Aragatsotn,4015N 04410E
AM,ARA,Ararat,Ararat,3950N 04441E
AM,ARV,Armavir,Armavir,4009N 04401E
AM,ASH,Ashtarak,Ashtarak,4018N 04421E
AM,BRD,Berd,Berd,4052N 04523E
AM,BYU,Byureghavan,Byureghavan,4018N 04435E
AM,DIL,Dilijan,Dilijan,4044N 04452E
AM,EZN,Ecmiadzin,Ecmiadzin,4009N 04417E
AM,GRS,Goris,Goris,3930N 04620E
AM,LWN,Gyumri,Gyumri,4048N 04350E
AM,HRA,Hrazdan,Hrazdan,4032N 04446E
AM,JER,Jermuk,Jermuk,
AM,KJN,Kajaran,Kajaran,3909N 04609E
AM,KPN,Kapan,Kapan,3912N 04624E
AM,ARM,Masis,Masis,4001N 04429E
AM,MMA,Mets Masrik,Mets Masrik,4013N 04546E
AM,MTR,Metsamor,Metsamor,4004N 04417E
AM,RN4,Rind,Rind,3945N 04510E
AM,SPI,Spitak,Spitak,4050N 04416E
AM,VZR,Vanadzor,Vanadzor,4048N 04428E
AM,VED,Vedi,Vedi,3954N 04443E
AM,EVN,Yerevan,Yerevan,4011N 04431E
AO,,.ANGOLA,,
AO,AZZ,Ambriz,Ambriz,
AO,ANL,Andulo,Andulo,
AO,ARO,Armada Olombendo FPSO,Armada Olombendo FPSO,0604S 01121E
AO,BAB,Baba,Baba,1450S 01214E
AO,BDT,Baía dos Tigres,Baia dos Tigres,1636S 01144E
AO,BDD,Barra do Dande,Barra do Dande,
AO,BEL,Belas,Belas,0855S 01310E
AO,BUG,Benguela,Benguela,
AO,CAB,Cabinda,Cabinda,
AO,CFF,Cafunfo,Cafunfo,
AO,CNZ,Cangamba,Cangamba,
AO,KNP,Capanda,Capanda,
AO,CPO,Capulo,Capulo,0759S 01310E
AO,CBT,Catumbela,Catumbela,
AO,CAV,Cazombo,Cazombo,
AO,PGI,Chitato,Chitato,
AO,CLV,CLOV FPSO,CLOV FPSO,0727S 01134E
AO,CUI,Cuio,Cuio,1259S 01259E
AO,CTI,Cuito Cuanavale,Cuito Cuanavale,
AO,DAL,Dalia,Dalia,0741S 01147E
AO,DRC,Dirico,Dirico,
